"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4160864";"";"0";"476.02";"0";"4.30";"15c";"N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC2(CC1)CN(Cc1c[nH]c3ccc(Cl)cc13)C2";"FC";"'='";"2.1";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4137126";"Activation of SOS1 in human HeLa cells assessed as effect on RAS-GTP levels by measuring ratio of total RAS level to RAS-GTP level at 25 uM after 30 mins by Western blot analysis relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4171085";"";"0";"464.01";"0";"4.20";"15a";"N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1";"EC50";"'='";"13300.0";"nM";"4.88";"";"";"UO_0000065";"10.51";"0.20";"0.68";"5.42";"0";"CHEMBL4137131";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP measured every 3 secs for 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4159076";"";"0";"445.57";"0";"3.31";"7g";"COc1ccc2[nH]cc(CN3CCC(NC(=O)[C@@H](N)Cc4c[nH]c5ccccc45)CC3)c2c1";"EC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4137131";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP measured every 3 secs for 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4172691";"";"0";"415.54";"0";"3.30";"4k";"N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccccc23)CC1";"EC50";"'>='";"89700.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4137131";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP measured every 3 secs for 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4165450";"";"0";"333.44";"0";"3.56";"4d";"O=C(NC1CCN(Cc2c[nH]c3ccccc23)CC1)c1ccccc1";"EC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4137131";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP measured every 3 secs for 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4172730";"";"0";"517.98";"1";"4.97";"12d";"N[C@@H](Cc1c[nH]c2cc(C(F)(F)F)ccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1";"Emax";"'='";"105.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4137130";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP at 100 uM measured every 3 secs for 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4168133";"";"0";"510.47";"2";"5.09";"19";"N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)N1CCC2(CC1)CCN2Cc1c[nH]c2ccc(Cl)cc12";"FC";"'='";"3.1";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4137122";"Activation of SOS1 in human HeLa cells assessed as effect on ERK1/2T202/Y204 phosphorylation levels by measuring ratio of total ERK1/2 level to pERK1/2T202/Y204 level at 25 uM after 30 mins by Western blot analysis relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4218552";"";"0";"372.88";"0";"3.90";"29";"Cc1cc(Cn2c(N3CCNCC3)nc3ccc(Cl)cc32)cc(C)c1F";"Kd";"'='";"460.0";"nM";"6.34";"";"";"UO_0000065";"17.00";"0.33";"2.44";"19.15";"0";"CHEMBL4201752";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli by fluorescent probe S1 based fluorescence polarization anisotrophy saturation binding assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4207854";"";"0";"450.95";"0";"4.36";"54";"Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cncnc4)cc(Cl)cc32)cc(C)c1F";"Kd";"'='";"350.0";"nM";"6.46";"";"";"UO_0000065";"14.32";"0.28";"2.10";"10.97";"0";"CHEMBL4201754";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli by fluorescent probe S2 based fluorescence polarization anisotrophy saturation binding assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4214703";"";"0";"479.00";"0";"4.91";"65";"Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4c(C)n[nH]c4C)cc(Cl)cc32)cc(C)c1F";"Kd";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"16.80";"0.32";"3.14";"13.03";"0";"CHEMBL4201753";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli by fluorescent probe S3 based fluorescence polarization anisotrophy saturation binding assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4214176";"";"0";"483.42";"1";"6.22";"38";"Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4Cl)cc(Cl)cc32)cc(C)c1F";"EC50";"'='";"36800.0";"nM";"4.43";"";"";"UO_0000065";"9.17";"0.18";"-1.79";"13.40";"0";"CHEMBL4201756";"Activation of SOS1 in human NCI-H727 cells expressing KRAS G12V mutant assessed as induction of ERK1/2 T202/Y204 phosphorylation incubated for 30 mins by In-cell Western assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H727";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4214821";"";"0";"471.02";"0";"3.66";"42";"Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL4201759";"Biphasic activity at of SOS1 in human HeLa cells expressing wild type KRAS assessed as reduction in ERK1/2 T202/Y204 phosphorylation at 1.5 to 100 uM (higher range) incubated for 30 mins by In-cell Western assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4218552";"";"0";"372.88";"0";"3.90";"29";"Cc1cc(Cn2c(N3CCNCC3)nc3ccc(Cl)cc32)cc(C)c1F";"EC50";"'='";"21200.0";"nM";"4.67";"";"";"UO_0000065";"12.53";"0.25";"0.77";"14.12";"0";"CHEMBL4201756";"Activation of SOS1 in human NCI-H727 cells expressing KRAS G12V mutant assessed as induction of ERK1/2 T202/Y204 phosphorylation incubated for 30 mins by In-cell Western assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H727";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4215257";"";"0";"471.02";"0";"3.83";"47";"Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC[C@H]4CN)cc(Cl)cc32)cc(C)c1F";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL4201758";"Biphasic activity at of SOS1 in human HeLa cells expressing wild type KRAS assessed as induction of ERK1/2 T202/Y204 phosphorylation at 1.5 to 100 uM (lower range) incubated for 30 mins by In-cell Western assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4203080";"";"0";"354.89";"0";"3.76";"14";"Cc1cc2nc(N3CCNCC3)n(Cc3ccc(Cl)cc3)c2cc1C";"EC50";"'='";"12400.0";"nM";"4.91";"";"";"UO_0000065";"13.83";"0.27";"1.15";"14.83";"0";"CHEMBL4201750";"Activation of human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP measured every 3 secs for 30 mins by nucleotide exchange assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4214176";"";"0";"483.42";"1";"6.22";"38";"Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4Cl)cc(Cl)cc32)cc(C)c1F";"Kd";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"14.32";"0.29";"0.70";"20.92";"0";"CHEMBL4201752";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli by fluorescent probe S1 based fluorescence polarization anisotrophy saturation binding assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4213025";"";"0";"483.04";"0";"3.66";"64";"Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL4201762";"Activation of SOS1 in human HeLa cells expressing wild type KRAS assessed as induction of ERK1/2 T202/Y204 phosphorylation at 0.3 to 30 uM incubated for 10 mins by In-cell Western assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4168133";"";"0";"510.47";"2";"5.09";"19";"N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)N1CCC2(CC1)CCN2Cc1c[nH]c2ccc(Cl)cc12";"Emax";"'='";"78.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4137130";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP at 100 uM measured every 3 secs for 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4174221";"";"0";"433.53";"0";"3.44";"7i";"N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(F)cc23)CC1";"EC50";"'='";"15900.0";"nM";"4.80";"";"";"UO_0000065";"11.07";"0.20";"1.36";"5.34";"0";"CHEMBL4137131";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP measured every 3 secs for 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4173793";"";"0";"449.99";"0";"3.95";"7c";"N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3cccc(Cl)c23)CC1";"EC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4137131";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP measured every 3 secs for 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4173793";"";"0";"449.99";"0";"3.95";"7c";"N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3cccc(Cl)c23)CC1";"Emax";"'='";"259.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4137130";"Binding affinity to human recombinant N-terminal His6-tagged SOS1 (564 to 1049 residues) expressed in BL21-RIL Escherichia coli assessed as SOS1-RAS complex formation by measuring exchange of GTP to BODIPY-GDP at 100 uM measured every 3 secs for 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130625";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4213025";"";"0";"483.04";"0";"3.66";"64";"Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F";"EC50";"'='";"5900.0";"nM";"5.23";"";"";"UO_0000065";"10.83";"0.21";"1.57";"13.21";"0";"CHEMBL4201755";"Activation of SOS1 in human HeLa cells expressing wild type KRAS assessed as induction of ERK1/2 T202/Y204 phosphorylation incubated for 30 mins by In-cell Western assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4213025";"";"0";"483.04";"0";"3.66";"64";"Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL4201758";"Biphasic activity at of SOS1 in human HeLa cells expressing wild type KRAS assessed as induction of ERK1/2 T202/Y204 phosphorylation at 1.5 to 100 uM (lower range) incubated for 30 mins by In-cell Western assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2079846";"Son of sevenless homolog 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196202";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
